project_id,encoded_project_id,project_name,hrera_project_name,registration_number,quarter_end_date,source_quarter_end_date,quarter_label,total_units,total_plots,total_apartments,total_garages,sold_upto_registration_units,sold_in_quarter_units,plots_sold_in_quarter,apartments_sold_in_quarter,garages_sold_in_quarter,cumulative_sold_units,cumulative_absorption_pct,cumulative_sold_units_raw,capped_at_total_units,plots_sold_upto_registration,apartments_sold_upto_registration,garages_sold_upto_registration,plinth_code,rera_number,quarterly_schedule_url
1830,MTgzMA==,BPTP Amstoria Verti Greens,BPTP AMSTORIA VERTI-GREENS,GGM/910/642/2025/13 DATED 05.02.2025,2026-06-30,31/06/2026,APR-JUN,885,0,885,0,0,3,0,3,0,499,56.38%,499,false,0,0,0,GGM-102-AVG,GGM/910/642/2025/13,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTgzMA==/MjAyNA==
1830,MTgzMA==,BPTP Amstoria Verti Greens,BPTP AMSTORIA VERTI-GREENS,GGM/910/642/2025/13 DATED 05.02.2025,2025-06-30,31/06/2025,APR-JUN,885,0,885,0,0,467,0,467,0,467,52.77%,467,false,0,0,0,GGM-102-AVG,GGM/910/642/2025/13,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTgzMA==/MjAyNA==
1830,MTgzMA==,BPTP Amstoria Verti Greens,BPTP AMSTORIA VERTI-GREENS,GGM/910/642/2025/13 DATED 05.02.2025,2025-09-30,30/09/2025,JUL-SEP,885,0,885,0,0,10,0,10,0,477,53.90%,477,false,0,0,0,GGM-102-AVG,GGM/910/642/2025/13,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTgzMA==/MjAyNA==
1830,MTgzMA==,BPTP Amstoria Verti Greens,BPTP AMSTORIA VERTI-GREENS,GGM/910/642/2025/13 DATED 05.02.2025,2025-12-31,31/12/2025,OCT-DEC,885,0,885,0,0,11,0,11,0,488,55.14%,488,false,0,0,0,GGM-102-AVG,GGM/910/642/2025/13,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTgzMA==/MjAyNA==
1830,MTgzMA==,BPTP Amstoria Verti Greens,BPTP AMSTORIA VERTI-GREENS,GGM/910/642/2025/13 DATED 05.02.2025,2026-03-31,31/03/2026,JAN-MAR,885,0,885,0,0,8,0,8,0,496,56.05%,496,false,0,0,0,GGM-102-AVG,GGM/910/642/2025/13,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTgzMA==/MjAyNA==
1830,MTgzMA==,BPTP Amstoria Verti Greens,BPTP AMSTORIA VERTI-GREENS,GGM/910/642/2025/13 DATED 05.02.2025,2026-06-30,31/06/2026,APR-JUN,885,0,885,0,0,3,0,3,0,499,56.38%,499,false,0,0,0,GGM-102-AVG,GGM/910/642/2025/13,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTgzMA==/MjAyNA==
2085,MjA4NQ==,AIPL Riviera,RIVIERA AT AIPL LAKE CITY,GGM/1019/751/2025/122 DATED 08.12.2025,2026-03-31,31/03/2026,JAN-MAR,0,0,0,0,0,0,0,0,0,0,,0,false,0,0,0,GGM-103-RIV,GGM/1019/751/2025/122,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MjA4NQ==/MjAyNQ==
2085,MjA4NQ==,AIPL Riviera,RIVIERA AT AIPL LAKE CITY,GGM/1019/751/2025/122 DATED 08.12.2025,2026-06-30,31/06/2026,APR-JUN,0,0,0,0,0,0,0,0,0,0,,0,false,0,0,0,GGM-103-RIV,GGM/1019/751/2025/122,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MjA4NQ==/MjAyNQ==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2024-09-30,30/09/2024,JUL-SEP,848,0,504,0,0,0,0,0,0,0,0.00%,0,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
1656,MTY1Ng==,Whiteland Urban Resort,URBAN RESORT,GGM/838/570/2024/65 DATED 18.06.2024,2024-12-31,31/12/2024,OCT-DEC,848,0,504,0,0,0,0,0,0,0,0.00%,0,false,0,0,0,GGM-103-URB,GGM/838/570/2024/65,https://haryanarera.gov.in/assistancecontrol/print_quarterly_schedules/Mg==/MTY1Ng==/MjAyNA==
